"quality.sequence","quality.concealment","quality.blinding.participants","quality.blinding.outcome","quality.incomplete.outcome","quality.selective.outcome","quality.other","quality.overall"
"some concerns","some concerns","some concerns","some concerns","some concerns","low","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"high","some concerns","high","high","low","some concerns","low","high"
"low","low","high","high","low","low","low","high"
"low","low","high","high","low","low","low","high"
"low","low","high","high","low","low","low","high"
"low","low","high","high","low","low","low","high"
"low","","low","","high","some concerns","high","high"
"low","","low","","high","some concerns","high","high"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"high","high","high","high","high","some concerns","high","high"
"high","high","high","high","high","some concerns","high","high"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"some concerns","low","low","low","low","low","low","low"
"some concerns","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","some concerns","high","low","low","low"
"low","low","low","some concerns","high","low","low","low"
"low","high","high","some concerns","high","low","low","some concerns"
"low","high","high","some concerns","high","low","low","some concerns"
"low","high","high","some concerns","high","low","low","some concerns"
"low","high","high","some concerns","high","low","low","some concerns"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"low","high","high","low","high","high","high","high"
"low","high","high","low","high","high","high","high"
"some concerns","some concerns","low","low","low","low","low","low"
"some concerns","some concerns","low","low","low","low","low","low"
"some concerns","some concerns","low","low","low","low","low","low"
"some concerns","some concerns","low","low","low","low","low","low"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"some concerns","some concerns","low","low","some concerns","some concerns","low","some concerns"
"low","low","low","low","high","low","high","high"
"low","low","low","low","high","low","high","high"
"low","low","low","low","high","high","high","high"
"low","low","low","low","high","high","high","high"
"low","low","low","low","high","high","high","high"
"low","low","low","low","high","high","high","high"
"low","low","low","low","high","high","high","high"
"low","low","low","low","high","high","high","high"
"some concerns","high","high","high","high","some concerns","low","high"
"some concerns","high","high","high","high","some concerns","low","high"
"low","low","high","high","high","low","some concerns","high"
"low","low","high","high","high","low","some concerns","high"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","high","high","high","low","some concerns","high"
"low","low","high","high","high","low","some concerns","high"
"some concerns","some concerns","some concerns","high","high","low","high","high"
"some concerns","some concerns","some concerns","high","high","low","high","high"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","some concerns","low","low","low",""
"low","low","low","some concerns","low","low","low",""
"some concerns","some concerns","high","high","some concerns","","high","high"
"some concerns","some concerns","high","high","some concerns","","high","high"
"some concerns","some concerns","high","high","some concerns","","high","high"
"some concerns","some concerns","high","high","some concerns","","high","high"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","some concerns","high","some concerns","low","low","high","high"
"low","some concerns","high","some concerns","low","low","high","high"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"low","low","low","low","high","low","low","high"
"some concerns","some concerns","high","high","some concerns","0","high","high"
"some concerns","some concerns","high","high","some concerns","0","high","high"
"some concerns","some concerns","high","high","some concerns","0","high","high"
"some concerns","some concerns","high","high","some concerns","0","high","high"
